DATE,Wilshire5000,GDP,GvtBond,CorporateBondAAA
1971-01-01,893.9366666666666667,5069.746,6.0166666666666667,7.21666666666667
1971-04-01,932.3300000000000000,5097.179,6.2466666666666667,7.47333333333333
1971-07-01,907.1033333333333333,5139.128,6.4833333333333333,7.55666666666667
1971-10-01,899.2466666666666667,5151.245,5.8900000000000000,7.3
1972-01-01,998.5400000000000000,5245.974,6.0333333333333333,7.23333333333333
1972-04-01,1021.0633333333333333,5365.045,6.1433333333333333,7.27666666666667
1972-07-01,1024.1900000000000000,5415.712,6.2900000000000000,7.20666666666667
1972-10-01,1068.8700000000000000,5506.396,6.3733333333333333,7.13666666666667
1973-01-01,1023.8266666666666667,5642.669,6.6033333333333333,7.22
1973-04-01,929.8933333333333333,5704.098,6.8066666666666667,7.30666666666667
1973-07-01,958.5266666666666667,5674.1,7.2066666666666667,7.58666666666667
1973-10-01,898.3600000000000000,5727.96,6.7533333333333333,7.65
1974-01-01,854.8566666666666667,5678.713,7.0533333333333333,7.89666666666667
1974-04-01,766.3733333333333333,5692.21,7.5433333333333333,8.36333333333333
1974-07-01,618.8000000000000000,5638.411,7.9633333333333333,8.98666666666667
1974-10-01,612.5366666666666667,5616.526,7.6700000000000000,9.01666666666667
1975-01-01,706.2300000000000000,5548.156,7.5400000000000000,8.70666666666667
1975-04-01,802.1533333333333333,5587.8,8.0500000000000000,8.87333333333333
1975-07-01,762.6466666666666667,5683.444,8.2966666666666667,8.91333333333333
1975-10-01,783.9966666666666667,5759.972,8.0633333333333333,8.81
1976-01-01,888.6066666666666667,5889.5,7.7533333333333333,8.55666666666667
1976-04-01,895.9866666666666667,5932.711,7.7733333333333333,8.53333333333333
1976-07-01,909.8166666666666667,5965.265,7.7300000000000000,8.46333333333333
1976-10-01,917.7766666666666667,6008.504,7.1900000000000000,8.18333333333333
1977-01-01,902.5466666666666667,6079.494,7.3533333333333333,8.03333333333333
1977-04-01,898.2666666666666667,6197.686,7.3700000000000000,8.01333333333333
1977-07-01,893.5800000000000000,6309.514,7.3566666666666667,7.94666666666667
1977-10-01,873.8600000000000000,6309.652,7.5966666666666667,8.10333333333333
1978-01-01,835.6233333333333333,6329.791,8.0100000000000000,8.45
1978-04-01,921.6800000000000000,6574.39,8.3200000000000000,8.67
1978-07-01,989.8100000000000000,6640.497,8.4900000000000000,8.75333333333333
1978-10-01,906.0100000000000000,6729.755,8.8200000000000000,9.02666666666667
1979-01-01,966.1133333333333333,6741.854,9.1066666666666667,9.29333333333333
1979-04-01,1004.6933333333333333,6749.063,9.1133333333333333,9.39
1979-07-01,1079.2633333333333333,6799.2,9.1033333333333333,9.29
1979-10-01,1091.7154545454545455,6816.203,10.4466666666666667,10.5433333333333
1980-01-01,1131.2362903225806452,6837.641,11.9866666666666667,12.1433333333333
1980-04-01,1098.9880952380952381,6696.753,10.4766666666666667,11.2033333333333
1980-07-01,1268.6217187500000000,6688.794,10.9533333333333333,11.5766666666667
1980-10-01,1384.2846031746031746,6813.535,12.4233333333333333,12.83
1981-01-01,1363.9785483870967742,6947.042,12.9600000000000000,13.1633333333333
1981-04-01,1404.3642857142857143,6895.559,13.7500000000000000,13.9833333333333
1981-07-01,1325.5700000000000000,6978.135,14.8466666666666667,14.92
1981-10-01,1282.4548437500000000,6902.105,14.0866666666666667,14.6166666666667
1982-01-01,1182.3622580645161290,6794.878,14.2933333333333333,15.01
1982-04-01,1175.2204761904761905,6825.876,13.9300000000000000,14.51
1982-07-01,1164.7306250000000000,6799.781,13.1166666666666667,13.7533333333333
1982-10-01,1409.9193750000000000,6802.497,10.6666666666666667,11.8766666666667
1983-01-01,1540.1244444444444444,6892.144,10.5633333333333333,11.8433333333333
1983-04-01,1721.0047619047619048,7048.982,10.5433333333333333,11.57
1983-07-01,1755.8689062500000000,7189.896,11.6266666666666667,12.3433333333333
1983-10-01,1735.0368253968253968,7339.893,11.6866666666666667,12.41
1984-01-01,1659.0868253968253968,7483.371,11.9433333333333333,12.2833333333333
1984-04-01,1595.1038095238095238,7612.668,13.2000000000000000,13.2133333333333
1984-07-01,1639.5268253968253968,7686.059,12.8666666666666667,12.99
1984-10-01,1684.1956250000000000,7749.151,11.7433333333333333,12.35
1985-01-01,1821.4930645161290323,7824.247,11.5833333333333333,12.2566666666667
1985-04-01,1903.6869841269841270,7893.136,10.8133333333333333,11.63
1985-07-01,1949.1077777777777778,8013.674,10.3366666666666667,11.03
1985-10-01,2017.9562500000000000,8073.239,9.7600000000000000,10.5766666666667
1986-01-01,2262.6763934426229508,8148.603,8.5566666666666667,9.57333333333333
1986-04-01,2481.6410937500000000,8185.303,7.6033333333333333,9.00333333333333
1986-07-01,2463.8875000000000000,8263.639,7.3066666666666667,8.83
1986-10-01,2459.8009375000000000,8308.021,7.2633333333333333,8.67666666666667
1987-01-01,2810.6909677419354839,8369.93,7.1933333333333333,8.36666666666667
1987-04-01,2918.6393650793650794,8460.233,8.3433333333333333,9.16666666666667
1987-07-01,3143.9375000000000000,8533.635,8.8766666666666667,9.75666666666667
1987-10-01,2501.5301562500000000,8680.162,9.1233333333333333,10.2133333333333
1988-01-01,2550.5107936507936508,8725.006,8.4166666666666667,9.55666666666667
1988-04-01,2622.9857142857142857,8839.641,8.9100000000000000,9.81
1988-07-01,2661.6400000000000000,8891.435,9.1000000000000000,9.96333333333333
1988-10-01,2711.9539682539682540,9009.913,8.9566666666666667,9.51
1989-01-01,2867.9906451612903226,9101.508,9.2066666666666667,9.68666666666667
